sep=;
"id";"category";"name";"description";"acceptance_criteria";"test_cases";"automated";"created_at";"updated_at"
"FA-04";"Funktionale Anforderung";"Dateiablage";"Datei-Upload direkt in Channels und Direktnachrichten. Unterstützte Formate: alle gängigen Dateitypen (PDF, DOCX, XLSX, ZIP, MP4, PNG u. a.) mit konfigurierbarer Maximalgröße pro Datei. Persistente Speicherung auf gemounteten Kubernetes-Volumes. Nextcloud-Integration für Workspaces über 10 GB sowie kollaborative Bearbeitung von Dokumenten. Dateien per Share-Link teilbar; Download für berechtigte Nutzer.";"1) Upload aller gängigen Dateitypen (PDF, DOCX, ZIP, MP4, PNG)
2) Mindestens 10 GB Speicher pro Workspace konfiguriert
3) Dateien per Link teilbar
4) Download durch berechtigte User
5) Dateien persistent nach Mattermost-Neustart
6) Nextcloud-Integration für größere Dateien";"T1: 100 MB ZIP hochladen → erscheint im Channel
T2: Nextcloud-Quota prüfen: > 10 GB konfiguriert
T3: Datei-Link generieren → Download ohne Login möglich (wenn öffentlich)
T4: Container-Neustart → Dateien noch vorhanden
T5: PDF, DOCX, MP4, ZIP, PNG je hochladen → alle ohne Fehler";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-05";"Funktionale Anforderung";"Nutzerverwaltung";"Vollständiger Lebenszyklus von Nutzerkonten: Anlegen (manuell oder per LDAP/AD-Synchronisation), Bearbeiten von Profildaten, Deaktivieren und Löschen. Rollenmodell: System-Admin (vollständige Kontrolle), Team-Admin (Teamverwaltung), Nutzer (Standardrolle) und Gast (eingeschränkter Zugriff auf explizit zugewiesene Kanäle). LDAP/Active-Directory-Anbindung ermöglicht Single-Source-of-Truth für Nutzerdaten.";"1) Admin kann User anlegen, bearbeiten, deaktivieren
2) Rollen Admin, User, Gast verfügbar und unterschiedlich berechtigt
3) Benutzerverwaltung direkt in Keycloak
4) CSV-Import über migrate.sh möglich
5) LDIF-Import unterstützt
6) SSO-Login via Keycloak (OIDC)";"T1: Admin legt User an → User kann sich einloggen
T2: Gast-Rolle → Kanalerstellung verweigert
T3: user.csv importieren → User erscheint in Keycloak
T4: User in Keycloak angelegt → User kann sich per SSO einloggen
T5: User deaktivieren → Login schlägt fehl";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-06";"Funktionale Anforderung";"Benachrichtigungen";"Kanalübergreifende Benachrichtigungsinfrastruktur: Browser-Push (Web Notifications API), Desktop-Benachrichtigungen (Mattermost Desktop-App) und Mobile-Push (iOS/Android über eigenen Push-Proxy). Granulare Konfiguration pro Kanal: alle Nachrichten, nur @-Mentions oder keine Benachrichtigungen. Bitte-nicht-stören-Modus (DND) und Ruhezeiten einstellbar. E-Mail-Benachrichtigungen bei Inaktivität als Fallback.";"1) Web-Push-Benachrichtigung bei neuer Nachricht
2) Desktop-Benachrichtigung (Browser/Electron) konfigurierbar
3) Mobile-Push via Mattermost Mobile App
4) Benachrichtigungen pro Kanal stummschaltbar
5) Do-Not-Disturb-Zeitfenster konfigurierbar";"T1: Tab im Hintergrund → Browser-Push erscheint bei DM
T2: Kanal stummschalten → keine Benachrichtigung bei Nachricht
T3: Do-Not-Disturb aktivieren → keine Push in gesetztem Zeitraum
T4: @mention → Benachrichtigung trotz stummgeschaltetem Kanal
T5: Mattermost Mobile App → Push-Notification auf Gerät";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-07";"Funktionale Anforderung";"Suche";"Integrierte Volltextsuche über alle zugänglichen Nachrichten, Dateinamen und Kanalinhalte (Elasticsearch-gestützt). Filteroptionen nach Autor, Kanal, Zeitraum und Dateityp. Suchergebnisse sortiert nach Relevanz und Datum. Suche respektiert Zugriffsrechte: Nutzer sehen nur Inhalte der Kanäle, denen sie angehören.";"1) Volltextsuche über alle eigenen Nachrichten
2) Dateisuche nach Dateiname
3) Kanalsuche nach Name
4) Suche liefert Ergebnis in < 2 s
5) Suchergebnisse nach Datum filterbar";"T1: Nachricht mit 'Testbegriff2026' → Suche findet Ergebnis
T2: 'report_q1.pdf' hochladen → Dateisuche findet es
T3: Kanalname suchen → Kanal erscheint in Vorschlägen
T4: Zeit messen: Suchanfrage → Antwort < 2s
T5: Datumsfilter setzen → nur Ergebnisse im Zeitraum";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-08";"Funktionale Anforderung";"Homeoffice-spezifisch";"Homeoffice-spezifische Funktionen: Anpassbare Status-Emojis und -Texte (z. B. 🏠 Homeoffice, ⛔ Nicht stören, 🍕 Mittagspause) mit automatischer Ablaufzeit. Kalenderintegration via Mattermost-Plugin für Google Calendar / Outlook: zeigt aktive Meetings im Status an und setzt automatisch 'In einer Besprechung'. Verfügbarkeitsübersicht im Nutzerprofil für einfache Erreichbarkeitsplanung im Team.";"1) Status-Optionen: Verfügbar, Beschäftigt, Abwesend, Homeoffice
2) Status für andere User sichtbar
3) Benutzerdefinierter Status-Text möglich
4) Kalenderintegration (Konfiguration dokumentiert)
5) Status-Emoji konfigurierbar";"T1: Status auf 'Beschäftigt' setzen → anderer User sieht Status
T2: Custom-Status 'Im Meeting bis 15:00' → sichtbar in Profil
T3: Status-Emoji setzen → erscheint neben Namen
T4: Kalender-Plugin konfigurieren → Events aus .ics-Feed importiert
T5: Status nach festgelegter Zeit automatisch zurücksetzen";"1";"2026-03-30 03:49:13";"2026-03-30 03:49:13"
"L-01";"Auslieferbares Objekt";"Konzept";"Projektkonzept-Dokument (Phase 1–5) mit Projektidee, Zielgruppe, Nutzenversprechen und technischem Lösungsansatz. Enthält: Executive Summary, Problem- und Lösungsbeschreibung, Scope-Definition, Meilensteinplanung sowie grobe Ressourcenabschätzung. Bildet die inhaltliche und strukturelle Grundlage für alle weiteren Lieferobjekte (L-02 bis L-08).";"1) P1-Dokument (Lastenheft) vollständig
2) P2-Dokument (Pflichtenheft) vollständig
3) P3-Dokument (Projektplanung) vollständig
4) P4-Dokument (Realisierung) vollständig
5) P5-Dokument (Abnahme/Test) vollständig
6) Alle Dokumente im DMS abgelegt";"Prüfung: Dokument-Checkliste P1–P5 → alle vorhanden
Prüfung: DMS-Link für jedes Dokument gültig
Prüfung: Betreuer bestätigt Vollständigkeit";"0";"2026-03-30 03:49:13";"2026-03-30 03:49:13"
"L-02";"Auslieferbares Objekt";"Marktanalyse";"Strukturierte Analyse des Zielmarkts: Marktgröße und -wachstum, Zielgruppendefinition (KMUs, Remote-Teams, öffentliche Einrichtungen in Deutschland). Wettbewerberanalyse (Slack, Microsoft Teams, Zoom, Rocket.Chat, Nextcloud Talk) mit Feature- und Preisvergleich. SWOT-Analyse der eigenen Lösung. Klare Positionierung und Abgrenzung im Wettbewerbsumfeld als self-hosted, DSGVO-konformer Open-Source-Stack.";"1) Mind. 5 konkurrierende Lösungen analysiert
2) DSGVO-Bewertung der Konkurrenten enthalten
3) USP-Abgrenzung klar herausgearbeitet
4) Marktgröße / Zielgruppengröße quantifiziert
5) Quellenangaben vollständig";"Prüfung: Marktanalyse enthält mind. 5 Wettbewerber
Prüfung: USP-Tabelle vorhanden und begründet
Prüfung: Marktgröße belegt (Statistik/Studie)
Prüfung: Alle Quellen zitiert und zugänglich";"0";"2026-03-30 03:49:13";"2026-03-30 03:49:13"
"L-03";"Auslieferbares Objekt";"Prototyp";"Funktionsfähiger Prototyp der Homeoffice-Kommunikationsplattform auf Basis von Mattermost + Nextcloud (Talk + Collabora), deployed auf dem k3s-Cluster (korczewski.de). Lauffähige Kernfunktionen demonstrierbar: Messaging, Videokonferenzen, Dateiablage, Dokumentenbearbeitung und Nutzerverwaltung. Erreichbar via HTTPS-Domain, live vorführbar im Abnahmegespräch. Quellcode (Manifeste, Konfiguration) versioniert im GitHub-Repository.";"1) kubectl apply startet alle Services ohne Fehler
2) Login möglich (Mattermost, Nextcloud, Talk)
3) Kernfunktionen FA-01 bis FA-07 demonstrierbar
4) Kein proprietärer Dienst als Abhängigkeit
5) setup.sh --check besteht ohne Fehler";"T1: setup.sh --check → Exit Code 0
T2: docker compose up -d → alle Services healthy
T3: Demo-Szenario (Login, DM, Video, Datei) → erfolgreich
T4: nmap → keine externen Dienste als Abhängigkeit
T5: README: Inbetriebnahme in < 30 min nachvollziehbar";"0";"2026-03-30 03:49:13";"2026-03-30 03:49:13"
"L-04";"Auslieferbares Objekt";"Geschäftsmodell";"Ausgearbeitetes Geschäftsmodell nach Business-Model-Canvas: Wertversprechen, Kundensegmente, Kanäle, Kundenbeziehungen, Einnahmequellen (z. B. Managed-Hosting-Abo, On-Premises-Lizenz mit Support-Vertrag, Implementierungsdienstleistungen), Schlüsselressourcen, -aktivitäten und -partner sowie Kostenstruktur. Bewertung der wirtschaftlichen Tragfähigkeit inklusive Break-even-Analyse.";"1) Mindestens 2 Geschäftsmodell-Optionen beschrieben
2) Kostenstruktur (Betrieb, Implementierung) kalkuliert
3) Zielgruppe klar definiert
4) Monetarisierungsstrategie erläutert
5) SWOT-Analyse oder Risikobewertung enthalten";"Prüfung: Geschäftsmodell-Dokument vorhanden
Prüfung: Kostenrechnung plausibel und nachvollziehbar
Prüfung: Mind. 2 Szenarien (z.B. SaaS + Self-Hosted)
Prüfung: Betreuer-Feedback positiv";"0";"2026-03-30 03:49:13";"2026-03-30 03:49:13"
"L-05";"Auslieferbares Objekt";"Systemarchitektur";"Technische Architekturdokumentation: Komponentendiagramm (Mattermost, Nextcloud, Talk HPB, Collabora, Keycloak, PostgreSQL, Traefik), Deployment-Diagramm auf k3s-Cluster, Netzwerkarchitektur (Ingress-Routing, interne Service-Kommunikation, TLS-Terminierung), Datenbankschema-Übersicht sowie Sicherheitsarchitektur (TLS-Flow, RBAC-Modell, Backup-Prozess). Erstellt mit draw.io oder PlantUML, versioniert im Repository.";"1) Architekturdiagramm (Komponenten + Datenflüsse)
2) Alle eingesetzten Services dokumentiert
3) Netzwerkarchitektur (Ports, Protokolle) beschrieben
4) Datenspeicherung und Persistenz erklärt
5) Sicherheitsarchitektur (TLS, RBAC, SSO) dargestellt";"Prüfung: Architekturdiagramm vorhanden und aktuell
Prüfung: Alle docker-compose.yml-Services im Diagramm
Prüfung: Netzwerk-Tabelle (Port/Protokoll/Dienst) vollständig
Prüfung: SSO-Fluss (Keycloak → Mattermost/Nextcloud) erklärt";"0";"2026-03-30 03:49:14";"2026-03-30 03:49:14"
"L-06";"Auslieferbares Objekt";"Deploymentanleitung";"Schritt-für-Schritt-Installationsanleitung für das Gesamtsystem. Inhalt: Voraussetzungen (k3s-Cluster, Helm, kubectl, DNS-Konfiguration), Konfigurationsanleitung (Secrets, Helm-Values, Umgebungsvariablen), Deployment-Ablauf in korrekter Reihenfolge der Komponenten, Post-Installation-Checks (Health-Checks, Smoke-Tests), Backup-Einrichtung sowie Update- und Rollback-Prozedur. Zielgruppe: Linux-Administrator ohne Mattermost-Vorkenntnisse.";"1) Schritt-für-Schritt-Anleitung für Linux und WSL2
2) Voraussetzungen (Docker, Ports) dokumentiert
3) .env-Konfiguration erklärt
4) DuckDNS-Setup beschrieben
5) Trouble­shooting-Abschnitt vorhanden
6) Test-Person kann Deployment nach README reproduzieren";"T1: Frische VM → Anleitung befolgen → System läuft
T2: Test-Person ohne Vorkenntnis reproduziert Deployment
T3: Troubleshooting-Abschnitt deckt top-3-Fehlerfälle ab
T4: DuckDNS-Abschnitt: Domains erreichbar nach Anleitung";"0";"2026-03-30 03:49:14";"2026-03-30 03:49:14"
"L-07";"Auslieferbares Objekt";"Endbericht";"Wissenschaftlicher Abschlussbericht des Projekts. Mindestumfang 6 Seiten pro Teammitglied. Struktur: Einleitung und Zielsetzung, technische Umsetzung und Architektur, Marktanalyse-Ergebnisse, Projektverlauf und Lessons Learned, Ausblick und Weiterentwicklungspotenzial sowie Anhänge (Testergebnisse, Metriken, relevante Code-Auszüge). Abgabe als PDF fristgerecht im DMS.";"1) Mind. 6 Seiten pro Teammitglied
2) Alle Projektziele reflektiert
3) Lessons Learned dokumentiert
4) Technische Entscheidungen begründet
5) Quellenverzeichnis vollständig
6) Fristgerecht eingereicht";"Prüfung: Seitenanzahl pro Teilnehmer ≥ 6
Prüfung: Alle Lastenheft-Anforderungen im Bericht referenziert
Prüfung: Abgabedatum eingehalten
Prüfung: Betreuer nimmt Bericht ab";"0";"2026-03-30 03:49:14";"2026-03-30 03:49:14"
"L-08";"Auslieferbares Objekt";"Abschlusspräsentation";"Strukturierte Abschlusspräsentation vor dem Bewertungskomitee. Gesamtdauer 40–45 Minuten inklusive Q&A-Runde. Pflichtinhalte: Live-Demo des Prototyps, Marktpositionierung und Geschäftsmodell, technische Architektur und Designentscheidungen, Projektrückblick und Teamreflexion. Alle Teammitglieder präsentieren aktiv. Präsentationsunterlagen (PDF/PPTX) im DMS hinterlegt.";"1) Dauer 40–45 Minuten (inkl. Demo)
2) Alle Projektziele präsentiert
3) Live-Demo des Prototyps
4) Alle Team-Mitglieder präsentieren
5) Fragen der Prüfer beantwortet";"Prüfung: Präsentation dauert 40–45 min (gestoppt)
Prüfung: Live-Demo: Login, DM, Video, Datei-Upload demonstriert
Prüfung: Alle Mitglieder haben Redeanteil
Prüfung: Betreuer nimmt Präsentation ab";"0";"2026-03-30 03:49:14";"2026-03-30 03:49:14"
"NFA-01";"Nicht-Funktionale Anforderung";"Datenschutz";"Alle personenbezogenen Daten (Nachrichten, Dateien, Nutzerprofile, Logs) werden ausschließlich auf Servern in Deutschland gespeichert und verarbeitet. Keine Übermittlung an Drittanbieter oder Cloud-Dienste außerhalb der EU. Verzeichnis der Verarbeitungstätigkeiten (VVT) vorhanden, Löschkonzept implementiert (Recht auf Löschung). Verschlüsselung at-rest für Datenbankvolumes und Dateiablage.";"1) Alle Daten nur auf eigenem Server (kein Cloud-Drittanbieter)
2) Kein Telemetrie-Datenabfluss an US-Dienste
3) DSGVO-Auskunftspflicht: User-Daten-Export möglich
4) Recht auf Löschung: User-Account vollständig löschbar
5) Keine Drittlands-Übertragung (CLOUD Act irrelevant)";"T1: tcpdump/nmap → keine Verbindungen zu *.microsoft.com, *.slack.com, *.zoom.us
T2: docker compose logs → keine externen Tracking-Endpunkte
T3: Mattermost-Admin → Compliance-Export für User erstellen
T4: User löschen → Daten aus DB entfernt
T5: curl ifconfig.me aus Container → IP in DE";"0";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"NFA-02";"Nicht-Funktionale Anforderung";"Performance";"Systemantwortzeit für UI-Interaktionen (Seitenaufbau, Kanalwechsel) unter 2 Sekunden bei bis zu 100 gleichzeitigen Nutzern. WebSocket-Nachrichtenlatenz (Absenden bis Empfang beim Gegenüber) unter 500 ms unter Normallast. API-Response-Zeiten unter 1 Sekunde für 95 % der Requests. Messung und Monitoring via Prometheus + Grafana.";"1) Mattermost UI-Ladezeit < 2 s (Cold Start)
2) Nachrichtenlatenz (Senden → Anzeige) < 500 ms
3) Nextcloud-Upload 10 MB < 10 s
4) Talk-Video 720p für 2+ Teilnehmer stabil
5) CPU < 80% bei Normallast";"T1: curl -w '%{time_total}' https://chat.domain → < 2s
T2: Stoppuhr: Nachricht senden → Anzeige beim Empfänger < 500ms
T3: 10 MB Upload Nextcloud → Zeit < 10s
T4: Talk 2-Personen-Call 5 min → kein Abbruch
T5: docker stats → CPU < 80% bei 5 aktiven Usern";"0";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"NFA-03";"Nicht-Funktionale Anforderung";"Verfügbarkeit";"Systemverfügbarkeit von mindestens 99,5 % im Jahresdurchschnitt (entspricht maximal ca. 44 Stunden ungeplanter Downtime pro Jahr). Erreicht durch Kubernetes-basiertes Deployment mit automatischem Pod-Neustart, Liveness- und Readiness-Probes sowie Rolling Updates ohne Dienstunterbrechung. Geplante Wartungsfenster werden angekündigt und außerhalb der Kernarbeitszeiten durchgeführt.";"1) restart: unless-stopped für alle Container
2) Automatischer Neustart nach ungeplantem Stop
3) Health-Check-Endpunkte erreichbar
4) Datenpersistenz nach Containerabsturz gewährleistet
5) Downtime bei Update < 2 Minuten";"T1: docker kill mattermost → startet automatisch neu
T2: docker restart → Services nach < 60s erreichbar
T3: curl /api/v4/system/ping → 200 OK
T4: Daten vor/nach Crash identisch
T5: docker compose up -d (Update-Zyklus) → Downtime < 2 min";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"NFA-04";"Nicht-Funktionale Anforderung";"Skalierbarkeit";"Horizontale Skalierung durch Kubernetes Horizontal Pod Autoscaler (HPA): Mattermost-Pods skalieren automatisch basierend auf CPU- und RAM-Auslastung. Datenbankschicht (PostgreSQL) skaliert bei Bedarf über Read-Replicas. Lastverteilung über Kubernetes-internen Service und Ingress-Controller. Getesteter Bereich: 10–500 gleichzeitige Nutzer ohne Änderung an der Grundarchitektur.";"1) Stabil mit 10 gleichzeitigen Usern ohne Fehler
2) Keine Architekturänderung bis 50 User nötig
3) CPU/RAM über docker-compose.yml anpassbar
4) Skalierungshinweise im README dokumentiert
5) Datenbankverbindungen konfigurierbar";"T1: 10 Browser-Sessions gleichzeitig → kein HTTP 500
T2: Apache Bench: ab -n 100 -c 10 → < 5% Fehlerrate
T3: mem_limit in docker-compose.yml erhöhen → greift beim Neustart
T4: README enthält Skalierungsabschnitt
T5: DB_HOST extern konfigurierbar ohne Code-Änderung";"0";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
